video_number,primary_view,start_frame,end_frame,position,difficulty,armstand,rotation_type,ss_no,tw_no,final_score
1.0,0.0,7377.0,7462.0,2.0,3.2,0.0,2.0,7.0,0.0,88.0
1.0,0.0,8649.0,8738.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
1.0,0.0,10036.0,10124.0,1.0,3.2,0.0,0.0,5.0,3.0,75.2
1.0,0.0,11444.0,11540.0,2.0,3.2,0.0,2.0,7.0,0.0,72.0
1.0,0.0,12860.0,12969.0,1.0,3.2,0.0,0.0,5.0,3.0,72.0
1.0,0.0,14062.0,14224.0,1.0,3.0,0.0,1.0,7.0,0.0,73.5
1.0,0.0,15355.0,15528.0,1.0,3.0,0.0,1.0,7.0,0.0,66.0
1.0,0.0,16985.0,17113.0,0.0,3.6,1.0,0.0,4.0,5.0,77.4
1.0,0.0,18193.0,18346.0,1.0,3.0,0.0,1.0,7.0,0.0,61.5
1.0,0.0,19696.0,19807.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
1.0,0.0,20799.0,20944.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
1.0,0.0,22525.0,22656.0,2.0,3.2,0.0,2.0,7.0,0.0,67.2
1.0,0.0,24120.0,24227.0,2.0,3.3,0.0,0.0,7.0,0.0,89.1
1.0,0.0,25360.0,25512.0,1.0,3.0,0.0,1.0,7.0,0.0,73.5
1.0,0.0,26449.0,26589.0,1.0,3.0,0.0,1.0,7.0,0.0,76.5
1.0,0.0,27882.0,27962.0,1.0,3.2,0.0,0.0,5.0,3.0,81.6
1.0,0.0,28948.0,29076.0,1.0,2.9,0.0,1.0,5.0,2.0,72.5
1.0,0.0,30395.0,30504.0,1.0,3.2,0.0,0.0,5.0,3.0,76.8
1.0,0.0,31736.0,31843.0,1.0,3.6,0.0,0.0,5.0,5.0,59.4
1.0,0.0,33341.0,33452.0,0.0,3.2,1.0,0.0,4.0,3.0,81.6
1.0,0.0,34815.0,34963.0,2.0,3.7,0.0,1.0,9.0,0.0,81.4
1.0,0.0,36413.0,36493.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
1.0,0.0,37673.0,37768.0,1.0,3.0,0.0,1.0,7.0,0.0,58.5
1.0,0.0,38916.0,39029.0,1.0,3.2,0.0,0.0,5.0,3.0,78.4
1.0,0.0,40506.0,40631.0,0.0,3.6,1.0,0.0,4.0,5.0,81.0
1.0,0.0,41926.0,42029.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
1.0,0.0,43276.0,43360.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
1.0,0.0,44388.0,44540.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
1.0,0.0,45977.0,46087.0,1.0,3.6,0.0,0.0,5.0,5.0,73.8
1.0,0.0,47452.0,47556.0,2.0,3.2,0.0,2.0,7.0,0.0,51.2
1.0,0.0,48475.0,48625.0,1.0,3.0,0.0,1.0,7.0,0.0,76.5
1.0,0.0,50040.0,50130.0,2.0,3.3,1.0,0.0,6.0,0.0,66.0
1.0,0.0,53431.0,53528.0,2.0,3.4,1.0,3.0,6.0,0.0,91.8
1.0,0.0,54522.0,54648.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,55645.0,55745.0,1.0,3.0,0.0,1.0,7.0,0.0,67.5
1.0,0.0,56885.0,56993.0,1.0,3.6,0.0,0.0,7.0,0.0,88.2
1.0,0.0,58385.0,58493.0,2.0,3.3,1.0,3.0,6.0,0.0,39.6
1.0,0.0,59756.0,59844.0,2.0,3.2,0.0,2.0,7.0,0.0,72.0
1.0,0.0,61304.0,61422.0,2.0,3.3,0.0,0.0,7.0,0.0,79.2
1.0,0.0,62747.0,62853.0,2.0,3.2,0.0,2.0,7.0,0.0,72.0
1.0,0.0,64175.0,64292.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
1.0,0.0,65424.0,65572.0,2.0,3.7,0.0,1.0,9.0,0.0,83.25
1.0,0.0,66843.0,66952.0,2.0,3.2,0.0,2.0,7.0,0.0,67.2
1.0,0.0,68198.0,68378.0,2.0,3.7,0.0,1.0,9.0,0.0,86.95
1.0,0.0,69569.0,69722.0,1.0,3.8,0.0,1.0,5.0,6.0,81.7
1.0,0.0,71241.0,71346.0,1.0,3.6,0.0,0.0,5.0,5.0,79.2
1.0,0.0,72565.0,72667.0,2.0,3.3,0.0,0.0,7.0,0.0,74.25
1.0,0.0,73546.0,73659.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
1.0,0.0,74602.0,74756.0,1.0,3.0,0.0,1.0,7.0,0.0,76.5
1.0,0.0,76158.0,76250.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
1.0,0.0,77606.0,77711.0,2.0,3.2,0.0,2.0,7.0,0.0,62.4
1.0,0.0,78715.0,78883.0,2.0,3.7,0.0,1.0,9.0,0.0,68.45
1.0,0.0,80321.0,80420.0,2.0,3.3,0.0,0.0,7.0,0.0,85.8
1.0,0.0,82136.0,82253.0,0.0,3.2,1.0,0.0,4.0,3.0,81.6
1.0,0.0,83427.0,83545.0,1.0,3.6,0.0,0.0,7.0,0.0,21.6
1.0,0.0,84855.0,84940.0,1.0,3.5,0.0,2.0,7.0,0.0,71.75
1.0,0.0,86297.0,86381.0,2.0,3.2,0.0,2.0,7.0,0.0,73.6
1.0,0.0,87617.0,87715.0,1.0,3.5,1.0,0.0,6.0,0.0,99.75
1.0,0.0,89003.0,89142.0,2.0,3.7,0.0,1.0,9.0,0.0,88.8
1.0,0.0,90440.0,90565.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
1.0,0.0,91856.0,91956.0,2.0,3.2,0.0,2.0,7.0,0.0,78.4
1.0,0.0,93370.0,93493.0,2.0,3.3,1.0,0.0,6.0,0.0,70.95
1.0,0.0,94812.0,94927.0,2.0,3.2,0.0,2.0,7.0,0.0,59.2
1.0,0.0,98885.0,98984.0,1.0,3.0,0.0,1.0,7.0,0.0,66.0
1.0,0.0,100000.0,100109.0,1.0,3.6,0.0,0.0,7.0,0.0,100.8
1.0,0.0,101525.0,101647.0,2.0,3.3,1.0,0.0,7.0,0.0,75.9
1.0,0.0,102634.0,102752.0,2.0,3.7,0.0,1.0,9.0,0.0,83.25
1.0,0.0,103771.0,103921.0,1.0,3.0,0.0,1.0,7.0,0.0,52.5
1.0,0.0,105481.0,105603.0,2.0,3.3,1.0,0.0,6.0,0.0,18.15
1.0,0.0,107603.0,107710.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
1.0,0.0,108915.0,109023.0,2.0,3.3,0.0,3.0,7.0,0.0,87.45
1.0,0.0,110494.0,110598.0,1.0,3.6,0.0,0.0,7.0,0.0,64.8
1.0,0.0,112214.0,112356.0,0.0,3.6,1.0,0.0,4.0,5.0,57.6
1.0,0.0,113682.0,113799.0,2.0,3.3,0.0,0.0,7.0,0.0,52.8
1.0,0.0,115332.0,115441.0,2.0,3.3,0.0,3.0,7.0,0.0,82.5
1.0,0.0,117119.0,117232.0,2.0,3.3,1.0,0.0,6.0,0.0,75.9
1.0,0.0,118770.0,118870.0,2.0,3.2,0.0,2.0,7.0,0.0,80.0
1.0,0.0,120249.0,120343.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
1.0,0.0,121529.0,121622.0,2.0,3.3,0.0,0.0,7.0,0.0,64.35
1.0,0.0,123052.0,123141.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
1.0,0.0,124297.0,124420.0,2.0,3.3,1.0,0.0,6.0,0.0,72.6
1.0,0.0,125896.0,126003.0,0.0,3.6,1.0,0.0,4.0,5.0,55.8
1.0,0.0,127399.0,127522.0,2.0,3.3,0.0,0.0,7.0,0.0,29.7
1.0,0.0,129404.0,129533.0,2.0,4.1,0.0,2.0,9.0,0.0,77.9
1.0,0.0,130720.0,130865.0,2.0,3.7,0.0,1.0,9.0,0.0,77.7
1.0,0.0,132224.0,132311.0,2.0,3.2,0.0,2.0,7.0,0.0,92.8
1.0,0.0,133647.0,133765.0,2.0,3.3,1.0,0.0,6.0,0.0,37.95
1.0,0.0,134867.0,135023.0,2.0,3.7,0.0,1.0,9.0,0.0,88.8
1.0,0.0,136327.0,136433.0,2.0,3.3,0.0,3.0,7.0,0.0,94.05
1.0,0.0,137935.0,138047.0,1.0,3.5,1.0,0.0,6.0,0.0,92.75
1.0,0.0,139350.0,139465.0,0.0,3.1,1.0,1.0,4.0,2.0,74.4
1.0,0.0,141044.0,141186.0,1.0,3.5,1.0,0.0,6.0,0.0,89.25
1.0,0.0,142480.0,142594.0,2.0,3.3,0.0,0.0,7.0,0.0,54.45
1.0,0.0,143779.0,143876.0,2.0,3.3,0.0,0.0,7.0,0.0,39.6
1.0,0.0,144952.0,145080.0,2.0,3.7,0.0,1.0,9.0,0.0,94.35
1.0,0.0,148650.0,148737.0,2.0,3.3,0.0,0.0,7.0,0.0,84.15
1.0,0.0,149787.0,149953.0,2.0,3.7,0.0,1.0,9.0,0.0,92.5
1.0,0.0,151139.0,151244.0,2.0,3.2,0.0,2.0,7.0,0.0,73.6
1.0,0.0,152496.0,152602.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,154050.0,154169.0,2.0,3.2,0.0,2.0,7.0,0.0,68.8
1.0,0.0,155352.0,155468.0,2.0,3.3,0.0,0.0,7.0,0.0,37.95
1.0,0.0,157175.0,157291.0,0.0,3.2,1.0,0.0,4.0,3.0,64.0
1.0,0.0,158582.0,158700.0,1.0,3.6,0.0,0.0,7.0,0.0,84.6
1.0,0.0,160091.0,160212.0,0.0,3.2,1.0,0.0,4.0,3.0,70.4
1.0,0.0,161455.0,161579.0,2.0,3.3,0.0,0.0,7.0,0.0,89.1
1.0,0.0,162864.0,162991.0,1.0,2.9,0.0,3.0,5.0,0.0,37.7
1.0,0.0,164735.0,164857.0,0.0,3.6,1.0,0.0,4.0,5.0,77.4
1.0,0.0,166550.0,166658.0,2.0,4.1,0.0,2.0,9.0,0.0,98.4
1.0,0.0,168023.0,168119.0,2.0,3.3,1.0,0.0,6.0,0.0,69.3
1.0,0.0,169467.0,169559.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,170886.0,171005.0,2.0,2.7,0.0,3.0,5.0,0.0,41.85
1.0,0.0,172317.0,172410.0,2.0,3.3,0.0,0.0,7.0,0.0,41.25
1.0,0.0,173865.0,173999.0,2.0,3.3,0.0,0.0,7.0,0.0,39.6
1.0,0.0,174942.0,175060.0,1.0,3.0,0.0,1.0,7.0,0.0,67.5
1.0,0.0,176284.0,176393.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,178153.0,178272.0,0.0,3.6,1.0,0.0,4.0,5.0,81.0
1.0,0.0,179760.0,179859.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
1.0,0.0,181302.0,181407.0,2.0,3.4,1.0,3.0,6.0,0.0,95.2
1.0,0.0,182424.0,182555.0,2.0,3.7,0.0,1.0,9.0,0.0,77.7
1.0,0.0,183752.0,183837.0,2.0,3.3,0.0,3.0,7.0,0.0,44.55
1.0,0.0,185164.0,185278.0,1.0,3.6,0.0,0.0,7.0,0.0,86.4
1.0,0.0,186518.0,186634.0,1.0,3.6,0.0,0.0,7.0,0.0,91.8
1.0,0.0,187825.0,187928.0,1.0,3.2,0.0,0.0,5.0,3.0,72.0
1.0,0.0,189252.0,189385.0,2.0,3.7,0.0,1.0,9.0,0.0,83.25
1.0,0.0,190866.0,190988.0,2.0,3.3,0.0,3.0,7.0,0.0,54.45
1.0,0.0,192521.0,192641.0,0.0,3.6,1.0,0.0,4.0,5.0,75.6
1.0,0.0,193920.0,194020.0,2.0,3.3,0.0,0.0,7.0,0.0,77.55
1.0,0.0,196747.0,196872.0,2.0,3.3,0.0,3.0,7.0,0.0,34.65
1.0,0.0,198241.0,198356.0,0.0,3.6,1.0,0.0,4.0,5.0,91.8
1.0,0.0,199580.0,199676.0,2.0,3.3,0.0,0.0,7.0,0.0,84.15
1.0,0.0,200972.0,201092.0,1.0,3.5,1.0,0.0,6.0,0.0,47.25
1.0,0.0,202333.0,202438.0,2.0,3.3,0.0,0.0,7.0,0.0,66.0
1.0,0.0,203601.0,203711.0,2.0,3.3,0.0,3.0,7.0,0.0,56.1
1.0,0.0,205505.0,205632.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,206926.0,207033.0,1.0,3.6,0.0,0.0,5.0,5.0,81.0
1.0,0.0,208399.0,208495.0,2.0,3.3,0.0,3.0,7.0,0.0,85.8
1.0,0.0,209779.0,209893.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
1.0,0.0,211167.0,211281.0,1.0,3.2,0.0,0.0,5.0,3.0,72.0
1.0,0.0,212810.0,212941.0,1.0,3.6,0.0,0.0,7.0,0.0,48.6
1.0,0.0,214453.0,214577.0,2.0,3.3,0.0,3.0,7.0,0.0,84.15
1.0,0.0,215882.0,215977.0,2.0,3.3,0.0,3.0,7.0,0.0,64.35
1.0,0.0,217449.0,217575.0,2.0,3.3,1.0,0.0,6.0,0.0,66.0
1.0,0.0,218987.0,219089.0,0.0,3.1,1.0,1.0,4.0,2.0,69.75
1.0,0.0,220504.0,220618.0,2.0,3.3,0.0,3.0,7.0,0.0,37.95
1.0,0.0,221986.0,222090.0,2.0,3.3,0.0,3.0,7.0,0.0,42.9
1.0,0.0,223357.0,223485.0,2.0,3.3,0.0,0.0,7.0,0.0,49.5
1.0,0.0,224843.0,224954.0,2.0,4.1,0.0,2.0,9.0,0.0,96.35
1.0,0.0,226724.0,226836.0,2.0,3.3,0.0,3.0,7.0,0.0,85.8
1.0,0.0,228300.0,228398.0,2.0,3.3,0.0,0.0,7.0,0.0,79.2
1.0,0.0,229525.0,229625.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
1.0,0.0,230677.0,230805.0,2.0,3.3,0.0,0.0,7.0,0.0,80.85
1.0,0.0,232171.0,232258.0,1.0,3.6,0.0,0.0,7.0,0.0,81.0
1.0,0.0,233223.0,233384.0,2.0,3.7,0.0,1.0,9.0,0.0,99.9
1.0,0.0,234494.0,234611.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
1.0,0.0,235984.0,236109.0,2.0,3.3,0.0,0.0,7.0,0.0,61.05
1.0,0.0,237641.0,237780.0,1.0,3.6,0.0,0.0,7.0,0.0,39.6
1.0,0.0,238865.0,239025.0,1.0,3.0,0.0,1.0,7.0,0.0,61.5
1.0,0.0,240347.0,240469.0,2.0,3.3,0.0,3.0,7.0,0.0,66.0
1.0,0.0,241766.0,241886.0,2.0,3.3,0.0,3.0,7.0,0.0,64.35
1.0,0.0,245252.0,245369.0,1.0,3.6,0.0,0.0,5.0,5.0,81.0
1.0,0.0,247023.0,247129.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
1.0,0.0,248380.0,248480.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
1.0,0.0,249714.0,249828.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
1.0,0.0,251160.0,251284.0,2.0,3.3,0.0,3.0,7.0,0.0,51.15
1.0,0.0,252516.0,252639.0,1.0,3.2,0.0,0.0,5.0,3.0,73.6
1.0,0.0,254039.0,254135.0,1.0,3.2,0.0,0.0,5.0,3.0,67.2
1.0,0.0,255360.0,255513.0,2.0,3.7,0.0,1.0,9.0,0.0,94.35
1.0,0.0,257041.0,257143.0,1.0,3.6,0.0,0.0,5.0,5.0,84.6
1.0,0.0,258561.0,258675.0,1.0,3.6,0.0,0.0,5.0,5.0,81.0
1.0,0.0,260226.0,260334.0,0.0,3.2,1.0,0.0,4.0,3.0,68.8
1.0,0.0,261950.0,262073.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
1.0,0.0,263357.0,263534.0,2.0,3.7,0.0,1.0,9.0,0.0,66.6
1.0,0.0,264970.0,265087.0,1.0,3.6,0.0,0.0,7.0,0.0,86.4
1.0,0.0,266803.0,266897.0,1.0,3.6,0.0,0.0,5.0,5.0,84.6
1.0,0.0,268238.0,268336.0,2.0,3.2,0.0,2.0,7.0,0.0,72.0
1.0,0.0,269858.0,269984.0,0.0,3.1,1.0,1.0,4.0,2.0,60.45
1.0,0.0,271184.0,271357.0,2.0,3.7,0.0,1.0,9.0,0.0,66.6
1.0,0.0,272659.0,272740.0,2.0,3.3,0.0,3.0,7.0,0.0,69.3
1.0,0.0,274054.0,274170.0,1.0,3.6,0.0,0.0,5.0,5.0,84.6
1.0,0.0,275501.0,275652.0,1.0,3.8,0.0,1.0,5.0,6.0,79.8
1.0,0.0,277139.0,277244.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
1.0,0.0,278669.0,278788.0,1.0,3.6,0.0,0.0,5.0,5.0,93.6
1.0,0.0,279931.0,280033.0,2.0,3.3,0.0,3.0,7.0,0.0,72.6
1.0,0.0,281317.0,281415.0,1.0,3.6,0.0,0.0,5.0,5.0,70.2
1.0,0.0,282923.0,283035.0,1.0,3.6,0.0,0.0,5.0,5.0,97.2
1.0,0.0,284394.0,284495.0,1.0,3.6,0.0,0.0,5.0,5.0,81.0
1.0,0.0,285877.0,286001.0,2.0,3.3,0.0,3.0,7.0,0.0,64.35
1.0,0.0,287429.0,287535.0,2.0,3.3,0.0,3.0,7.0,0.0,84.15
1.0,0.0,288906.0,289028.0,1.0,3.2,0.0,0.0,5.0,3.0,75.2
1.0,0.0,290351.0,290470.0,1.0,3.6,0.0,0.0,5.0,5.0,46.8
1.0,0.0,291897.0,291971.0,1.0,3.6,0.0,0.0,5.0,5.0,70.2
2.0,0.0,9839.0,9969.0,0.0,3.6,1.0,0.0,4.0,5.0,88.3
2.0,0.0,10946.0,11094.0,1.0,3.0,0.0,1.0,7.0,0.0,76.5
2.0,0.0,12273.0,12371.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
2.0,0.0,13714.0,13843.0,1.0,3.6,0.0,0.0,5.0,5.0,81.0
2.0,0.0,15862.0,15980.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
2.0,0.0,17103.0,17205.0,1.0,3.2,0.0,0.0,5.0,3.0,68.8
2.0,0.0,18629.0,18714.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
2.0,0.0,20045.0,20195.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
2.0,0.0,21251.0,21423.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
2.0,0.0,22425.0,22595.0,1.0,3.0,0.0,1.0,7.0,0.0,75.0
2.0,0.0,24066.0,24146.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
2.0,0.0,25502.0,25617.0,2.0,3.2,0.0,2.0,7.0,0.0,78.4
2.0,0.0,26876.0,27032.0,2.0,3.7,0.0,1.0,9.0,0.0,88.8
2.0,0.0,28585.0,28686.0,2.0,3.3,0.0,0.0,7.0,0.0,85.8
2.0,0.0,30339.0,30446.0,0.0,3.6,1.0,0.0,4.0,5.0,91.8
2.0,0.0,31671.0,31760.0,2.0,3.2,0.0,2.0,7.0,0.0,76.8
2.0,0.0,32920.0,33000.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
2.0,0.0,34323.0,34434.0,2.0,3.2,0.0,2.0,7.0,0.0,89.6
2.0,0.0,37154.0,37236.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
2.0,0.0,38487.0,38603.0,1.0,3.6,0.0,0.0,7.0,0.0,88.2
2.0,0.0,39949.0,40066.0,2.0,3.4,1.0,3.0,6.0,0.0,37.4
2.0,0.0,41341.0,41439.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
2.0,0.0,42934.0,43078.0,2.0,3.7,0.0,1.0,9.0,0.0,86.95
2.0,0.0,44005.0,44166.0,1.0,3.0,0.0,1.0,7.0,0.0,63.0
2.0,0.0,45485.0,45576.0,1.0,3.6,0.0,0.0,7.0,0.0,86.4
2.0,0.0,46968.0,47086.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
2.0,0.0,48482.0,48586.0,2.0,3.2,0.0,2.0,7.0,0.0,75.2
2.0,0.0,49977.0,50095.0,2.0,3.3,0.0,0.0,7.0,0.0,85.8
2.0,0.0,51800.0,51910.0,0.0,3.2,1.0,0.0,4.0,3.0,83.2
2.0,0.0,53047.0,53176.0,2.0,3.7,0.0,1.0,9.0,0.0,77.7
2.0,0.0,54663.0,54783.0,2.0,3.3,0.0,0.0,7.0,0.0,87.45
2.0,0.0,56125.0,56299.0,1.0,3.8,0.0,1.0,5.0,6.0,91.2
2.0,0.0,57592.0,57704.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
2.0,0.0,58837.0,58975.0,2.0,3.7,0.0,1.0,9.0,0.0,90.65
2.0,0.0,60024.0,60116.0,2.0,3.3,0.0,3.0,7.0,0.0,94.05
2.0,0.0,61557.0,61662.0,1.0,3.5,1.0,0.0,6.0,0.0,85.75
2.0,0.0,64785.0,64942.0,2.0,3.7,0.0,1.0,9.0,0.0,94.35
2.0,0.0,66248.0,66361.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
2.0,0.0,67380.0,67498.0,1.0,3.0,0.0,1.0,7.0,0.0,72.0
2.0,0.0,69066.0,69190.0,1.0,3.5,1.0,0.0,6.0,0.0,84.0
2.0,0.0,70950.0,71079.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
2.0,0.0,72470.0,72588.0,2.0,3.3,1.0,0.0,6.0,0.0,69.3
2.0,0.0,73748.0,73895.0,2.0,3.7,0.0,1.0,9.0,0.0,88.8
2.0,0.0,75462.0,75583.0,2.0,3.2,0.0,2.0,7.0,0.0,81.6
2.0,0.0,77073.0,77200.0,1.0,3.6,0.0,0.0,7.0,0.0,55.8
2.0,0.0,78487.0,78598.0,2.0,3.2,0.0,2.0,7.0,0.0,86.4
2.0,0.0,79868.0,80030.0,2.0,3.7,0.0,1.0,9.0,0.0,83.25
2.0,0.0,81870.0,81972.0,0.0,3.6,1.0,0.0,4.0,5.0,82.8
2.0,0.0,84124.0,84257.0,2.0,4.1,0.0,2.0,9.0,0.0,86.1
2.0,0.0,85839.0,85950.0,2.0,3.3,1.0,0.0,6.0,0.0,36.3
2.0,0.0,87141.0,87264.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
2.0,0.0,88747.0,88842.0,1.0,3.5,1.0,0.0,6.0,0.0,89.25
2.0,0.0,90131.0,90217.0,1.0,3.6,0.0,0.0,7.0,0.0,102.6
2.0,0.0,91576.0,91691.0,2.0,3.3,0.0,3.0,7.0,0.0,94.05
2.0,0.0,94542.0,94661.0,2.0,3.3,0.0,3.0,7.0,0.0,85.8
2.0,0.0,96311.0,96416.0,2.0,3.4,1.0,3.0,6.0,0.0,81.6
2.0,0.0,97643.0,97769.0,2.0,3.3,0.0,0.0,7.0,0.0,89.1
2.0,0.0,99044.0,99175.0,2.0,3.7,0.0,1.0,9.0,0.0,88.8
2.0,0.0,101090.0,101218.0,0.0,3.6,1.0,0.0,4.0,5.0,81.0
2.0,0.0,102403.0,102518.0,2.0,3.2,0.0,2.0,7.0,0.0,78.4
2.0,0.0,103636.0,103744.0,2.0,3.3,0.0,3.0,7.0,0.0,84.15
2.0,0.0,105213.0,105286.0,2.0,3.3,1.0,0.0,6.0,0.0,79.2
2.0,0.0,106809.0,106923.0,0.0,3.2,1.0,0.0,4.0,3.0,83.2
2.0,0.0,108372.0,108486.0,2.0,3.3,0.0,3.0,7.0,0.0,90.75
2.0,0.0,110071.0,110198.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
2.0,0.0,111516.0,111632.0,2.0,3.3,0.0,0.0,7.0,0.0,89.1
2.0,0.0,113482.0,113603.0,0.0,3.6,1.0,0.0,4.0,5.0,81.0
2.0,0.0,115476.0,115610.0,2.0,4.1,0.0,2.0,9.0,0.0,86.1
2.0,0.0,116948.0,117063.0,1.0,3.6,0.0,0.0,7.0,0.0,86.4
2.0,0.0,118321.0,118413.0,1.0,3.6,0.0,0.0,7.0,0.0,91.8
2.0,0.0,119559.0,119676.0,2.0,3.7,0.0,1.0,9.0,0.0,94.35
2.0,0.0,121140.0,121247.0,1.0,3.6,0.0,0.0,7.0,0.0,102.6
2.0,0.0,124172.0,124284.0,1.0,3.6,0.0,0.0,7.0,0.0,82.8
2.0,0.0,125561.0,125679.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
2.0,0.0,126756.0,126853.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
2.0,0.0,128265.0,128377.0,1.0,3.6,0.0,0.0,7.0,0.0,91.8
2.0,0.0,129964.0,130082.0,1.0,3.6,0.0,0.0,7.0,0.0,91.8
2.0,0.0,131220.0,131352.0,2.0,3.3,0.0,0.0,7.0,0.0,80.85
2.0,0.0,132535.0,132659.0,1.0,3.5,1.0,0.0,6.0,0.0,36.75
2.0,0.0,133884.0,133990.0,2.0,3.3,0.0,3.0,7.0,0.0,79.2
2.0,0.0,135284.0,135398.0,2.0,3.3,0.0,3.0,7.0,0.0,64.35
2.0,0.0,136836.0,136953.0,2.0,3.3,1.0,0.0,6.0,0.0,74.25
2.0,0.0,138357.0,138472.0,2.0,3.3,0.0,0.0,7.0,0.0,84.15
2.0,0.0,139712.0,139819.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
2.0,0.0,141724.0,141833.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
2.0,0.0,143368.0,143476.0,2.0,3.3,0.0,3.0,7.0,0.0,89.1
2.0,0.0,144778.0,144903.0,1.0,3.6,0.0,0.0,5.0,5.0,86.4
2.0,0.0,146027.0,146117.0,2.0,3.3,0.0,3.0,7.0,0.0,74.25
2.0,0.0,147501.0,147607.0,0.0,3.6,1.0,0.0,4.0,5.0,75.6
